text,Name,Number
A strange seed was planted on its back at birth. The plant sprouts and grows with this POKéMON.,Bulbasaur,#001
Its short feet are tipped with suction pads that enable it to tirelessly climb slopes and walls.,Caterpie,#010
A brutal POKéMON with pressurized water jets on its shell. They are used for high speed tackles.,Blastoise,#009
"Often hides in water to stalk unwary prey. For swimming fast, it moves its ears to maintain balance.",Wartortle,#008
"After birth, its back swells and hardens into a shell. Powerfully sprays foam from its mouth.",Squirtle,#007
Spits fire that is hot enough to melt boulders. Known to cause forest fires unintentionally.,Charizard,#006
"When it swings its burning tail, it elevates the temperature to unbearably high levels.",Charmeleon,#005
"Obviously prefers hot places. When it rains, steam is said to spout from the tip of its tail.",Charmander,#004
The plant blooms when it is absorbing solar energy. It stays on the move to seek sunlight.,Venusaur,#003
"When the bulb on its back grows large, it appears to lose the ability to stand on its hind legs.",Ivysaur,#002
"Very protective of its sprawling territorial area, this POKéMON will fiercely peck at any intruder.",Pidgeotto,#017
"When hunting, it skims the surface of water at high speed to pick off unwary prey such as MAGIKARP.",Pidgeot,#018
A common sight in forests and woods. It flaps its wings at ground level to kick up blinding sand.,Pidgey,#016
Flies at high speed and attacks using its large venomous stingers on its forelegs and tail.,Beedrill,#015
"Almost incapable of moving, this POKéMON can only harden its shell to protect itself from predators.",Kakuna,#014
"Often found in forests, eating leaves. It has a sharp venomous stinger on its head.",Weedle,#013
"Able to conceal itself in shadows, it never appears before humans, so its very existence was the stuff of myth.",Marshadow,#802
"This artificial Pokémon, constructed more than 500 years ago, can understand human speech but cannot itself speak.",Magearna,#801
"Reminiscent of the Ultra Beasts, this life-form, apparently asleep underground, is thought to have come from another world in ancient times.",Necrozma,#800
"It has gobbled mountains and swallowed whole buildings, according to reports. It’s one of the Ultra Beasts.",Guzzlord,#799
"This Ultra Beast came from the Ultra Wormhole. It seems not to attack enemies on its own, but its sharp body is a dangerous weapon in itself.",Kartana,#798
It appeared from the Ultra Wormhole. Witnesses observed it flying across the sky at high speed.,Celesteela,#797
"One of the mysterious life-forms known as Ultra Beasts. Astonishing electric shocks emanate from its entire body, according to witnesses.",Xurkitree,#796
"One of the dangerous Ultra Beasts, it has been spotted running across the land at terrific speeds.",Pheromosa,#795
"This Ultra Beast appeared from another world. It shows off its body, but whether that display is a boast or a threat remains unclear.",Buzzwole,#794
One of several mysterious Ultra Beasts. People on the street report observing those infested by it suddenly becoming violent.,Nihilego,#793
"It is said to be a female evolution of Cosmog. When its third eye activates, away it flies to another world.",Lunala,#792
It is said to live in another world. The intense light it radiates from the surface of its body can make the darkest of nights light up like midday.,Solgaleo,#791
"Motionless as if dead, its body is faintly warm to the touch. In the distant past, it was called the cocoon of the stars.",Cosmoem,#790
Its body is gaseous and frail. It slowly grows as it collects dust from the atmosphere.,Cosmog,#789
The dense fog it creates brings the downfall and destruction of its confused enemies. Ocean currents are the source of its energy.,Tapu Fini,#788
"It pulls large trees up by the roots and swings them around. It causes vegetation to grow, and then it absorbs energy from the growth.",Tapu Bulu,#787
This guardian deity of Akala is guilelessly cruel. The fragrant aroma of flowers is the source of its energy.,Tapu Lele,#786
This guardian deity of Melemele is brimming with curiosity. It summons thunderclouds and stores their lightning inside its body.,Tapu Koko,#785
"When it spots enemies, it threatens them by jingling the scales on its tail. Weak opponents will crack and flee in panic.",Kommo-o,#784
It leaps at its prey with a courageous shout. Its scaly punches tear its opponents to shreds.,Hakamo-o,#783
It expresses its feelings by smacking its scales. Metallic sounds echo through the tall mountains where Jangmo-o lives.,Jangmo-o,#782
"Swinging its massive anchor, it can KO Wailord in a single blow. What appears to be green seaweed is actually its body.",Dhelmise,#781
"It has a compassionate personality, but if it is angered, it completely destroys its surroundings with its intense breath.",Drampa,#780
"When it unleashes its psychic power from the protuberance on its head, the grating sound of grinding teeth echoes through the area.",Bruxish,#779
Its actual appearance is unknown. A scholar who saw what was under its rag was overwhelmed by terror and died from the shock.,Mimikyu,#778
"The spiny fur on its back is normally at rest. When this Pokémon becomes agitated, its fur stands on end and stabs into its attackers.",Togedemaru,#777
The shell on its back is chemically unstable and explodes violently if struck. The hole in its stomach is its weak point.,Turtonator,#776
"It is born asleep, and it dies asleep. All its movements are apparently no more than the results of it tossing and turning in its dreams.",Komala,#775
"Originally making its home in the ozone layer, it hurtles to the ground when the shell enclosing its body grows too heavy.",Minior,#774
"Its trust in its partner is what awakens it. This Pokémon is capable of changing its type, a flexibility that is well displayed in battle.",Silvally,#773
The heavy control mask it wears suppresses its intrinsic capabilities. This Pokémon has some hidden special power.,Type: Null,#772
"It lives in shallow seas, such as areas near a beach. It can eject its internal organs, which it uses to engulf its prey or battle enemies.",Pyukumuku,#771
"Possessed people controlled by this Pokémon transformed its sand mound into a castle. As it evolved, its power to curse grew ever stronger.",Palossand,#770
"Born from a sand mound playfully built by a child, this Pokémon embodies the grudges of the departed.",Sandygast,#769
"With a flashing slash of its giant sharp claws, it cleaves seawater—or even air—right in two.",Golisopod,#768
"This Pokémon is a coward. As it desperately dashes off, the flailing of its many legs leaves a sparkling clean path in its wake.",Wimpod,#767
They form groups of roughly 20 individuals. Their mutual bond is remarkable—they will never let down a comrade.,Passimian,#766
"Known for its extreme intelligence, this Pokémon will look down on inexperienced Trainers, so it’s best suited to veteran Trainers.",Oranguru,#765
"It attaches flowers to its highly nutritious vine. This revitalizes the flowers, and they give off an aromatic scent.",Comfey,#764
"Its long, striking legs aren’t just for show but to be used to kick with skill. In victory, it shows off by kicking the defeated, laughing boisterously.",Tsareena,#763
"The sepals on its head developed to protect its body. These are quite hard, so even if pecked by bird Pokémon, this Pokémon is totally fine.",Steenee,#762
